timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103231927,1509,Request1,200,OK,Thread Group 1-10,text,true,,18196,234,10,10,https://www.google.com/,1004,0,0
1667103231927,1004,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,1004,0,0
1667103232932,504,Request1-1,200,OK,Thread Group 1-10,text,true,,17493,119,10,10,https://www.google.com/,483,0,0
1667103231978,1503,Request1,200,OK,Thread Group 1-9,text,true,,18149,234,10,10,https://www.google.com/,951,0,0
1667103231978,951,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,115,10,10,https://google.com/,951,0,0
1667103232929,552,Request1-1,200,OK,Thread Group 1-9,text,true,,17446,119,10,10,https://www.google.com/,535,0,0
1667103232451,1070,Request1,200,OK,Thread Group 1-3,text,true,,18175,234,10,10,https://www.google.com/,520,0,0
1667103232451,520,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,520,0,0
1667103232972,549,Request1-1,200,OK,Thread Group 1-3,text,true,,17472,119,10,10,https://www.google.com/,524,0,0
1667103232791,945,Request1,200,OK,Thread Group 1-5,text,true,,18185,234,10,10,https://www.google.com/,381,0,0
1667103232791,381,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,381,0,0
1667103233173,563,Request1-1,200,OK,Thread Group 1-5,text,true,,17482,119,10,10,https://www.google.com/,531,0,0
1667103233207,955,Request1,200,OK,Thread Group 1-2,text,true,,18159,234,10,10,https://www.google.com/,388,0,0
1667103233207,388,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,388,0,0
1667103233595,567,Request1-1,200,OK,Thread Group 1-2,text,true,,17456,119,10,10,https://www.google.com/,561,0,0
1667103232814,1482,Request1,200,OK,Thread Group 1-7,text,true,,18201,234,10,10,https://www.google.com/,928,0,0
1667103232814,928,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,928,0,0
1667103233742,554,Request1-1,200,OK,Thread Group 1-7,text,true,,17498,119,10,10,https://www.google.com/,537,0,0
1667103233322,1091,Request1,200,OK,Thread Group 1-6,text,true,,18194,234,10,10,https://www.google.com/,422,0,0
1667103233322,422,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,422,0,0
1667103233744,669,Request1-1,200,OK,Thread Group 1-6,text,true,,17491,119,10,10,https://www.google.com/,643,0,0
1667103233436,1118,Request1,200,OK,Thread Group 1-10,text,true,,18207,234,10,10,https://www.google.com/,611,0,0
1667103233436,611,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,611,0,0
1667103234047,507,Request1-1,200,OK,Thread Group 1-10,text,true,,17504,119,10,10,https://www.google.com/,476,0,0
1667103233482,1206,Request1,200,OK,Thread Group 1-9,text,true,,18133,234,10,10,https://www.google.com/,614,0,0
1667103233482,614,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,115,10,10,https://google.com/,614,0,0
1667103234096,592,Request1-1,200,OK,Thread Group 1-9,text,true,,17430,119,10,10,https://www.google.com/,561,0,0
1667103231320,3608,Request1,200,OK,Thread Group 1-1,text,true,,18184,234,10,10,https://www.google.com/,1765,0,0
